上海昌嘉广告策划有限公司	CJ@design-cj.com/
上海元哲信息咨询有限公司	yuanzhexinxi@sina.com
伯司乐（上海)商务咨询有限公司	bosile_sh@163.com
上海锌一五金机电有限公司	xiyiwujin520@qq.com
上海星研电子科技有限公司	shanghaixinyan@163.com
上海道创投资咨询有限公司	daochuang56@163.com
上海新明伟国际货物运输代理有限公司	xinmingwei_sh@163.com
上海泰晟国际货运代理有限公司	taisheng_sz@163.com
龙港（上海）贸易有限公司	longgang_sh@qq.com
上海共迪实业有限公司	gongdishiye@qq.com
上海普好企业发展有限公司	puhao5307@163.com
海连货运	hailian_668@163.com
上海百穗艺术咨询有限公司	baihuiyishu001@163.com
上海肯浪机电设备有限公司	kenlang_langken@qq.com
上海科保电子有限公司	kebaodianzi@163.com
上海翱腾科技有限公司	aotengkeji_sh@qq.com
上海友通电气有限公司	youtongdianqi_sh@qq.com
上海权鹏商贸有限公司	quanpeng_sh@qq.com
上海颉润电子科技有限公司	jierun444@163.com
上海诺煦电子有限公司	yuoxidianzi@qq.com
卓法酒业（上海）有限公司	zhufajiuye_sh@sina.com.cn
上海奥凯希服装有限公司	aokaixi_fushi@163.com
上海俊杭电子有限公司	junhang53086589@qq.com
上海积慧信息技术有限公司	jihuixinxi_sh@sina.com.cn
北京创新在线网络技术有限公司上海分公司	CX_zxbeijing@163.com
上海金乾盛五金机电有限公司	jingqiansheng@qq.com
上海精测电子有限公司	jingce0001@qq.com
上海丝味食品有限公司	siweishipin_sh@sina.com.cn
上海捷恩国际货运有限公司	jienhuoyun698@163.com
中国长江磨床进出口有限公司	changjiangmochuang001@qq.com
呼和浩特市兆能资产管理有限公司	zhaoneng_hhht@163.com
华康保险代理有限公司上海分公司	huakangbaoxian001@qq.com
深圳华康海宇投资咨询有限公司上海分公司	huakanghaiyu_sz@sina.com.cn
上海浩顿英菲市场信息咨询有限公司	haodun2011@163.com
上海珩欣电子有限公司	hengxin_dianzi@qq.com
上海彩星化工有限公司	caixinghuagong5988@163.com
上海晶蒙数码科技有限公司	53086645@qq.com
上海累土建筑设计咨询有限公司	leitujianzhu6230@163.com
上海优内特信息技术有限公司	0000youneite@qq.com
北京合力亿捷科技股份有限公司	beijingheli@sina.com.cn
尚世商业投资顾问（上海）有限公司	shangshishangye001@163.com
日高国际货运（上海）有限公司	rigaoguoji_sh@qq.com
上海中轻国际货运有限公司	zhongqinghuoyun5874@sina.com.cn
上海易网国际物流有限公司	yiguo@yiguo.com
哈尔滨方依达肥业有限公司上海分公司	fangyida14f@163.com
上海大越国际货物运输代理有限公司	dayueguoji_sh@qq.com
德速（上海）信息技术有限公司	desu_shsh@sina.com.cn
唐盛国际机械(昆山)有限公司上海分公司	tangshengjixie_sh@163.com
上海视军文化传播有限公司	shijunwenhua_sh@qq.com
上海轶盈工贸有限公司	66489874@sina.com.cn
上海瀚诚国际货物运输代理有限公司	hanchenghuoyun9986@163.com
上海施迪奥国际物流有限公司	25387741@qq.com
上海伊测电子科技有限公司	yice_sh@sina.com.cn
冯庆延建筑师事务所（香港）有限公司	FYQ_law@qq.com
上海铸宸国际贸易有限公司	zhuchenmaoyi1111@sina.com.cn
上海格钲电子有限公司	gezheng_dianzi009@163.com
上海盛伟国际货物运输代理有限公司	shengwei_sh@sina.com.cn
上海优信市场调研有限公司	youxin_diaoyan@163.com
上海远眺电子科技有限公司	yuantiao555@qq.com
上海沪达轴承机电设备有限公司	hudazhoucheng432@sina.com.cn
上海镭战企业管理咨询有限公司	leizhanguanli98@163.com
维孚贸易（上海）有限公司	wifu_shmaoyi@sina.com.cn
贵州薏米阳光产业开发有限责任公司	yimoyangguang_yy@163.com
上海宏邦知识产权代理有限公司	hongbang_sh@qq.com
神钢起重机（上海）有限公司	shengang668@sina.com.cn
上海华盈国际物流有限公司	huayingguoji@163.com
上海鉴智商务信息有限公司	jianzhi3322@qq.com
上海丹正国际货运代理有限公司	danzhenghuoyun001@sina.com.cn
悦沁电子商务（上海）有限公司	yunxin_DZSW@sina.com.cn
葛洲坝集团物流有限公司上海分公司	gezhouba_sh@163.com
上海稼家谷环保科技有限责任公司	hejiagu_huanbo@qq.com
深圳市维真化妆品有限公司	weizhenhua_SZ@qq.com
上海嘉曼商贸有限公司	cloud@ackermans.co.za
上海竞舟国际货物运输代理有限公司	jingzhou2003@163.com
奥斯龙复合纤维（滨州）有限公司上海分公司	aosilong521@sina.com
奥力浦国际贸易(上海)有限公司	aolipu_sh@sina.com
浙江华海药业股份有限公司	master@huahaipharm.com
